"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"Kovrigin","Seamount",,"Department of Navigation and Oceanography, Ministry of Defence, Russia",,"USSR Northern Fleet Hydrographic Expedition",,"The feature is named in memory of Ivan Petrovich Kovrigin (1921-1992), a hydrographer-sea surveyor, who for about 20 years served at the hydrographic units of the Northern Fleet, was engaged in the research of the northern seas, hydrographic and topogeodetic works in the White, Barents and Kara Seas and in the Arctic Ocean. For 15 years he had been working at the Chart Coverage Division of the Navy Charts Division.","Minimum depth: 1706 m; Total relief: 994 m. The seamount is oval in shape and the summit is stretched in a north east direction. It is located in the north part of the Mendeleyev Rise.","POINT (-177.95 82.916667)",
"Koza","Seamount",,,,,,"Named after the nearby town of Koza, on the island of Honshu, Japan.",,"POINT (137.29 28.845)",
"Kozhemyakin","Seamount","SCUFN-16","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR drifting station SP-16 (Arctic & Antarc. Res. Inst.)",,"Named after Il'ya Ivanovich Kozhemyakin (1912-unknown), Russian hydrologist at the North Expedition of the Northern Fleet. In 1944-1954 he led hydrographic works in the northern seas. From 1962, he took part in 18 air expeditions in the high latitudes at the Northern Fleet Hydrographic Service and contributed greatly to the research in the Central Arctic Basin.",,"POINT (-151.833333 83.35)",
"Kraul","Canyon","SCUFN-23","Colin Summerhayes, Scott Polar Research Institute, UK",,"German R/V Polarstern - Expeditions ANT IX/3, X/2 and XIX/2",,"Named after Captain Otto Kraul, the ice pilot on the MV Schwabenland during the 3rd German Antarctic Expedition (December 1938-April 1939). He was a seasoned polar whaler - 47 years old - who had sailed most of the seven seas. The season before (1937/1938) he had been Fangleiter (whaling manager) on the German whaling ship Jan Wellem in the Antarctic. Kraul started his career in whaling as a worker at the whaling station of the Compania Argentina de Pesca in Grytviken during World War I. Then he became seaman on a whale catcher, was promoted pilot, and later in the 1920s sometimes held the well-paid position of whale shooter. In1928 he earned his captain's ticket. Theoretical learning was not his strong point, and in his final examination he failed in physics, meteorology and oceanography, passing the other subjects with the lowest possible grades. Kraul¿s strengths were practical, and he could tell the most exciting stories about his experiences. His life story up to and including his experiences on the Schwabenland was published as: Kraul, O., 1939, Käpt'n Kraul Erzählt. F. A. Herbig, Berlin, 240 pp. Kraul's experience of sailing steel hulled ships unprotected against ice in icy seas was invaluable to Ritscher, the leader of the expedition, and got the ship out of some difficult situations when the ship was manouevering among sea ice close to the coast. Avoiding ice was imperative as the main task of the expedition was to launch aerial survey aircraft (seaplanes) to map Dronning Maud Land for the first time (the major achievement of the expedition). The Schwabenland was a catapault ship borrowed from Lufthansa who used it for the South America mail run. But the returning seaplanes had to land on water - hence the need to avoid sea ice at all costs. On one occasion Schwabenland was nearly crushed by sea ice, until Kraul found the leads that would enable her to escape. Schwabenland made major bathymetric discoveries including undertaking the first N-S echo-sounding transect down the mid-Atlantic Ridge in the S Atlantic, and one of the first echo-sounding crossings of the ridge, complementing the set made by Meteor in the 1920s. It also unwittingly discovered the Enderby and Weddell Abyssal Plains. The echo-sounding profiles were published in 1958 as a contribution to the IGY.","Minimum depth: 2200 m; Maximum depth: 3700 m; Total relief: 1500 m; Dimension/Size: length ~80 km; continuous trough with steep sides, >20°.","LINESTRING (2.475 -69.95, 2.5 -69.71666667, 2.325 -69.51666667, 2.145 -69.455, 2.155 -69.36333333, 2.113333333 -69.21333333, 1.976666667 -69.06666667)",
"Krauss","Seamount","SCUFN-23","Rainer Gersonde, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,"German R/V Sonne (T. Dufek, A.-K. Rohardt and C. Heinzl)",,"Named after Prof. Dr. Wolfgang Krauss (1931-2009), one of the leading scientists in theoretical oceanography. He worked as a professor at the Christian-Albrecht-University (CAU) in Kiel, where he became Dean of the School of Mathematics and Science at CAU in 1970/1971 and Director of the Institute for Marine Research (IfM) from 1982 to 1988. Until his retirement he had a great influence on the development of the theoretical oceanography and the establishment of the CAU as an internationally recognized academic institution in marine research.","Minimum depth: 3513 m; Maximum depth: 4900 m; Total relief: 1387 m; Dimension/Size: 24 km x 18 km, with a steep elongated shape.","POINT (-153.408333333 49.03)",
"Kreps","Seamount",,"Dr. G. B. Udintsev, GEOHI AN, Russia",,"Russian research vessel ""Akademik Boris Petrov""",,"Named after the Russian microbiologist, Academician E. M. Kreps (1899-1985).","Minimum depth: 1295 m.","POINT (-13.5 -17.483333)",
"Kretov","Knoll","SCUFN-24","State Scientific Centre ""Yuzhmorgeologiya"" (Kruglyakov, V.V., Melnikov, M.E.), Russia, State Scientific Centre ""Yuzhmorgeologiya"", Russia",,"RV ""Gelendzhik""",,"Proposer: V.V. Kruglyakov, M.E. Melnikov, State Scientific Centre YUZHMORGEOLOGIYA, Russia (ocean@ymg.ru)
Date of Proposal: 2011
Discoverer: RV ¿Gelendzhik¿
Date of Discovery: 1999

Named after A.V. Kretov (1959¿1988), a Russian researcher of geological structure and minerals (polymetallic nodules) who worked in an ore province of the area of the Clarion and Clipperton fracture zones. He was the leading geologist of YuTGRE, in Nakhodka. He participated in four expeditions in the area of Clarion and Clipperton fracture zones, and wrote geological reports on the results of these expeditions. He published a number of scientific works about sediments and ferromanganese nodules in the region.","Position: Pacific Ocean
Minimum Depth: 4275 m
Maximum Depth: 5100 m
Total Relief: 825 m
Dimension/Size: 3.9 × 5.1 miles

Proposed as: Kretov Hill.","POINT (-131.949 14.065)",
"Krümmel","Seamount","SCUFN-23","Rainer Gersonde, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,"German R/V Sonne (T. Dufek, A.-K. Rohardt and C. Heinzl)",,"Named after Prof. Otto Krümmel (1854-1912), a German geographer and oceanographer who worked as a professor in Kiel and Marburg. He was involved in the foundation of GEBCO, as member of the international commission on nomenclature and submarine topography which met from 14 to 15 April 1903 in Wiesbaden. He is known as a pioneer of modern oceanography.","Minimum depth: 3655 m; Maximum depth: 5000 m; Total relief: 1345 m; Dimension/Size: 19 km x 14 km, with a steep oval shape.","POINT (-152.578333333 49.686666667)",
"Krusenstern","Trough",,"Jacqueline Mammerickx, Scripps Institution of Oceanography (SIO), USA",,,,"Named after I. F. Krusenstern (1770-1846), Admiral, leader of the first Russian around-the-world expedition (1803-1805) on the ships ""Neva"" and ""Nadezda.""",,"POINT (165.5 50)",
"Krylov","Seamount",,"Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"Russian fisheries research vessel ""Atlant""",,"Named after Russian academician A. N. Krylov (1883-1945) expert in ship-building and technology.","Minimum depth: 1270 m.","POINT (-30.05 17.516667)",
"Kucherov","Terrace","SCUFN-16","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Ivan Petrovich Kucherov (1912-1993), Russian hydrographer. In 1934-1940 he took part in hydrographic surveys in the Arctic Ocean seas. He initiated the preparation and systematic publication of the first nautical charts for the Central Arctic. In 1955 he led complex hydrographic works carried out by the 1st Soviet Antarctic Expedition in the vicinity of the station ""Mirnyy.""",,"MULTILINESTRING ((179.999 76.3570262026123, 172.333333 78.166667), (-177 75.416667, -179.999 76.3564508566147))",
"Kucherov","Seamount","SCUFN-12","Dr. G. B. Udintsev, IO RAS, Russia",,"Russian research vessel ""Akademik Nikolay Strakhov""",,"Named after the Russian hydrographer I. P. Kucherov (1912-1993), head of the Russian HO's charts division (1954-1971) and explorer of the Arctic and Antarctic seas.","Least depth: 972 m.","POINT (-28.7 2.291667)",
"Kuenen","Rise","SCUFN-11","Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"IIOE ships",,"Ph. H. Kuenen, Professor of Geology at Groningen, Netherlands in 1930s-1960s, was the marine geologist aboard ""Willebrord Snellius"" 1929-1930 and did marine fieldwork throughout the Indonesian Archipelago.",,"LINESTRING (94.6 -2.3, 96.333333 -1.5, 97 -0.366667)",
"Kulyndyshev","Seamount","SCUFN-26","State Scientific Centre ""Yuzhmorgeologiya"" (V.V. Krugliakov, M.E. Melnikov), State Scientific Centre ""Yuzhmorgeologiya"", 20, Krymskaya St., Gelendzhik 353461, Russia","2013","Russian Research Vessel ""Gelendzhik""","1999","Named after V.A. Kulyndyshev (1947-2008), a Russian doctor on geological and mineralogical sciences. He was an expert in the exploration techniques and geological-economic evaluation of deposits of ferromanganese nodules, including in the province of the Clarion-Clipperton Zone. He was the author of some 50 publications on the subject including the collection of regulatory guidance documents and technical-economic considerations on the possible commercial value of the Clarion-Clipperton deposits province. ",,"POINT (-141.5145 11.5793)",
"Kumani","Canyon",,,,,,,,"POINT (37.133333 44.7)",
"Kumano","Ridge","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby city and land area of Kumano.","Relief (at five locations, NE to SW): 800, 600, 400, 500, and 300 m.","LINESTRING (137.125 33.23333333, 136.4666667 33.01666667, 136.25 32.91666667, 135.8 32.79166667, 135.3166667 32.70333333)",
"Kumano","Basin","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby city and land area of Kumano.","Depression: 150 m. Poorly bounded on south. Taken from Japanese Bathymetric Chart No. 6602.","POINT (136.633333 33.536667)",
"Kurchatov","Fracture Zone","SCUFN-14","Gleb B. Udintsev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS), Institute of Oceanology, Russian Academy of Sciences (IO RAS), 
Nakhimovskiy pr., 36, Moscow, Russia, 117218",,"Russian research vessel ""Akademik Kurchatov""",,"Named after the Russian physicist, Academician I. V. Kurchatov (1902-1960).","Positions revised in 2002.","LINESTRING (-30.45 40.86666667, -29.61666667 40.51666667, -29.3 40.6, -28.53333333 40.71666667)",
"Kurchatov","Trough","SCUFN-13","Dr. A. V. Zhivago, IO RAS, Russia",,"Russian research vessel ""Akademik Kurchatov""",,"Named after the Russian R/V Akademik Kurchatov which investigated this feature closely.",,"POINT (-130.5 -37)",
"Kurchatov","Seamount",,"V. F. Kanaev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS)",,"Russian research vessel ""Akademik Kurchatov""",,"Named after the Russian academician Igor V. Kurchatov (1902-1960), physicist and prominent figure in atomic theory and technology in Russia. He was Director of the Russian Atomic Energy Institute (1943-1960). He developed a system for protecting ships against mines.",,"POINT (68.533333 -5.411667)",
"Küre","Escarpment",,"RA. Sevket Güçlüer, Turkey",,,,,"Formerly, West Pontic Escarpment. Shown as West Black Sea Escarpment in ACUF Gazetteer.","LINESTRING (31.3333 41.4333, 31.8147 41.6161546875, 32.40786328125 41.9255521484375, 32.7074734375 41.9897751953125, 33.3442 42.158, 33.631041015625 42.17468203125, 33.978709375 42.3851794921875, 34.5128888671875 42.2776205078125, 34.812895703125 42.297131640625, 35.3333 42.1667)",
"Kurentsov","Ridge","SCUFN-13","Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"Russian fisheries research vessel ""Geracl""",,"Named after the Russian entomologist, A. I. Kurentsov (1896-1975), who studied the Pacific region.","Minimum depth: 170 m.","LINESTRING (143 -52.25, 139.5 -54.333333)",
"Kurentsova","Seamount","SCUFN-23","Hans Werner Schenke, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany, Alfred-Wegener Institute for Polar and Marine Research (AWI)
POB 120161 27515 Bremerhaven Germany",,"German R/V Polarstern (H. W. Schenke) - Expedition ANT-XXII/4",,"Named after Natasha Kurentsova, former Senior scientist at the Vernadsky Institute of Geochemistry and Analytical Chemistry (GEOCHI), who was born on 22.07.1938 in Vladivostok. She obtained geological education at the Far Eastern Polytechnic Institute, Vladivostok, and finished her academic training in 1960. She worked later at the Pacific division of the Shirshov Institute of Oceanology (since 1968, the Pacific Oceanology Institute), in Vladivostok, and participated in a number of seagoing expeditions as marine geologist. In 1964-1965 Natasha attended the 36th cruise of ""Vitjaz"" as petrologist, and contributed to the first discovery of the upper mantle rocks outcrops, dredged in the rift zone of the Karlsberg Ridge (NW-branch of the Mid-Ocean Ridge system in the Indian Ocean). She actively collaborated in studies of the mid-oceanic ridges of the Atlantic, Indian Ocean and Pacific. In 1971 she moved to the laboratory of Geomorphology and Tectonics at the Shirshov Institute of Oceanology, Moscow. She joined the 49th cruise of ""Vitjaz"" in the West Pacific, led the dredging program in the newly discovered Vitjaz Trench (north of the North Fiji Basin) and made first discoveries of upper mantle rocks outcrops. From 1992 until her decease in Moscow on 25.01.2010, Natasha Kurentsova worked in the laboratory for Geomorphology and Tectonics of the Ocean Floor at GEOCHI. She attended the 21st and 29th cruises of R/V ""Akademik Boris Petrov"" and on several Antarctic expeditions of the German RV ""Polarstern"" in the Atlantic and Pacific Sectors of the Southern Ocean where she collected rock samples from 300 sites, followed by intensive petrological and geochemical analyses at the GEOCHI. Based on the results she published series of articles in scientific magazines of the Russian Academy of Sciences.","Minimum depth: 2330 m; Maximum depth: 3550 m; Total relief: 1220 m; Dimension/Size: 12 km x 12 km. Nearly circular volcano with 200 m deep crater and steepness of  max. 31°.","POINT (-42.59 -55.10333333)",
"Kuril","Basin",,"Gleb B. Udintsev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS), Institute of Oceanology, Russian Academy of Sciences (IO RAS), 
Nakhimovskiy pr., 36, Moscow, Russia, 117218",,"Prof. Shokalsky",,"Named after the nearby Kuril Islands.",,"POINT (147 46.666667)",
"Kuril-Kamchatka","Trench",,"Gleb B. Udintsev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS), Institute of Oceanology, Russian Academy of Sciences (IO RAS), 
Nakhimovskiy pr., 36, Moscow, Russia, 117218",,"US Ship ""Tuscarora""",,"Named after its geographic location. This feature represents a single structure between the Kuril islands and the Kamchatka peninsula.","Shown as ""Kuril Trench"" in ACUF Gazetteer.","LINESTRING (145 41, 147.633 42.5167, 149.7511 43.8467, 152 44.95, 153.7896 45.9854, 155.2949 47.3002, 156.8369 48.3387, 157.6079 49.0677, 158.8929 49.8574, 161.8 52.3, 163.1667 54)",
"Kushimoto","Hill","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby town of Kushimoto, on the island of Honshu, Japan.","Relief: 700 m; Least depth: 3900 m. Taken from Japanese Bathymetric chart No. 6725. Shown as Kushimoto Seamount in ACUF Gazetteer.","POINT (137.396667 27.593333)",
"Kushimoto","Hole","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby town of Kushimoto,on the island of Honshu, Japan.","Relief: 700 m; Maximum depth: 5400 m.","POINT (137.575 27.4)",
"Kuzuhana","Seamount","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Kuzuhana"" is the Japanese term for ""arrowroot.""","Relief: 1100 m; Least depth: 4650 m.","POINT (147.211667 28.083333)",
